id,equipment_id,maintenance_type,description,duration_hours,labor_cost,material_cost,total_cost,health_score_before,health_score_after,technician,performed_at
mh0000,eq017,preventive,System reset and calibration,1.1,2802.31,1953.76,1368.12,61.46,83.78,TECH006,2024-10-11T16:16:37.226552
mh0001,eq041,emergency,Oil change and lubrication,2.8,1593.72,1916.17,1726.14,63.46,88.72,TECH004,2025-06-23T16:16:37.226552
mh0002,eq039,emergency,Oil change and lubrication,2.8,2354.23,1533.18,1213.6,76.99,89.3,TECH012,2026-05-01T16:16:37.226552
mh0003,eq022,emergency,Emergency repair,6.4,2301.91,500.53,1245.8,68.06,81.34,TECH013,2026-03-10T16:16:37.226552
mh0004,eq001,corrective,Full inspection,2.5,659.68,1482.18,3179.6,69.32,81.68,TECH002,2025-10-26T16:16:37.226552
mh0005,eq031,emergency,Component replacement,3.3,1137.79,385.23,3167.82,58.21,75.41,TECH012,2025-03-07T16:16:37.226552
mh0006,eq002,preventive,Component replacement,0.8,1409.94,1856.41,1469.53,49.14,69.31,TECH014,2026-04-01T16:16:37.226552
mh0007,eq047,emergency,Full inspection,2.2,1120.66,1848.54,2075.72,62.11,90.39,TECH014,2026-06-22T16:16:37.226552
mh0008,eq043,preventive,Component replacement,2.2,1789.44,282.67,2423.98,62.86,75.25,TECH015,2026-05-10T16:16:37.226552
mh0009,eq019,corrective,Oil change and lubrication,4.6,519.92,561.21,3124.37,74.64,100,TECH005,2025-04-08T16:16:37.226552
mh0010,eq031,preventive,Emergency repair,6.2,1112.82,211.48,2463.16,49.7,67.07,TECH004,2024-10-29T16:16:37.226552
mh0011,eq000,corrective,Oil change and lubrication,6.2,1440.69,1528.55,2022.3,53.86,80.65,TECH004,2025-01-20T16:16:37.226552
mh0012,eq003,preventive,System reset and calibration,1.2,2803.19,1815.12,2934.96,79.32,97.72,TECH012,2025-02-01T16:16:37.226552
mh0013,eq037,preventive,Emergency repair,1.5,2549.91,334.69,3141.63,58.34,83.3,TECH007,2025-07-12T16:16:37.226552
mh0014,eq016,corrective,Full inspection,5.8,2338.38,772.5,1869.41,78.57,93.3,TECH002,2024-09-18T16:16:37.226552
mh0015,eq006,preventive,Oil change and lubrication,1.7,1665.14,931.72,3004.48,45.44,70.85,TECH013,2026-01-02T16:16:37.226552
mh0016,eq007,preventive,Component replacement,6.6,1260.54,1468.47,3294.2,58.08,77.34,TECH004,2025-12-28T16:16:37.226552
mh0017,eq022,corrective,Emergency repair,0.9,1247.1,1676.16,1447.63,45.93,70.16,TECH007,2025-08-27T16:16:37.226552
mh0018,eq006,corrective,Oil change and lubrication,6.5,849.48,221.52,4270.6,62.24,83.24,TECH004,2025-04-21T16:16:37.227549
mh0019,eq043,emergency,Oil change and lubrication,4.9,1147.05,1662.94,793.74,47.93,65.94,TECH002,2026-03-17T16:16:37.227549
mh0020,eq008,preventive,System reset and calibration,1.4,2855.7,291.15,4673.77,76.1,94.97,TECH007,2026-01-07T16:16:37.227549
mh0021,eq027,preventive,System reset and calibration,2.1,967.88,703.74,4498.72,59.85,77.5,TECH001,2025-06-19T16:16:37.227549
mh0022,eq018,corrective,Full inspection,7.1,1697.58,357.9,2346.97,64.77,79.68,TECH007,2024-11-07T16:16:37.227549
mh0023,eq015,emergency,Emergency repair,6.5,2973.51,1607.45,2244.18,65.71,91.65,TECH009,2026-01-05T16:16:37.227549
mh0024,eq020,corrective,System reset and calibration,1.8,1297.19,594.24,4551.79,53.76,75.07,TECH013,2025-03-19T16:16:37.227549
mh0025,eq033,corrective,Emergency repair,8.0,2934.95,380.24,3524.52,42.34,72.17,TECH005,2025-10-14T16:16:37.227549
mh0026,eq003,preventive,Emergency repair,6.8,2493.48,838.65,4308.66,72.65,100,TECH014,2025-01-28T16:16:37.227549
mh0027,eq047,emergency,System reset and calibration,7.4,570.52,1461.01,4774.5,47.04,68.89,TECH010,2026-02-01T16:16:37.227549
mh0028,eq031,emergency,System reset and calibration,1.8,594.91,301.1,3287.15,62.52,76.29,TECH001,2026-03-05T16:16:37.227549
mh0029,eq039,preventive,Component replacement,3.1,943.65,1644.36,4433.33,59.12,75.75,TECH001,2025-02-04T16:16:37.227549
mh0030,eq009,preventive,Emergency repair,7.0,2901.4,872.46,4750.27,45.91,70.0,TECH007,2026-07-06T16:16:37.227549
mh0031,eq008,preventive,Full inspection,6.4,2901.66,1368.52,1449.07,44.04,60.08,TECH009,2024-12-05T16:16:37.227549
mh0032,eq022,preventive,Emergency repair,6.6,1445.96,1521.19,1966.42,75.58,97.86,TECH003,2024-08-17T16:16:37.227549
mh0033,eq025,emergency,Oil change and lubrication,1.9,1295.54,1655.85,3328.94,77.95,100,TECH011,2026-07-27T16:16:37.227549
mh0034,eq021,emergency,Oil change and lubrication,2.3,2955.95,502.2,4506.88,44.16,64.09,TECH002,2024-12-26T16:16:37.227549
mh0035,eq021,corrective,Oil change and lubrication,2.5,1123.85,322.03,1803.63,66.8,91.39,TECH002,2024-08-02T16:16:37.227549
mh0036,eq026,preventive,Full inspection,4.2,1446.78,1182.84,1136.14,41.93,60.69,TECH008,2026-07-27T16:16:37.227549
mh0037,eq010,corrective,Oil change and lubrication,6.5,583.53,236.14,1822.85,66.04,89.78,TECH002,2024-12-14T16:16:37.227549
mh0038,eq010,emergency,Oil change and lubrication,4.6,2745.31,367.59,3254.33,53.67,81.43,TECH010,2026-05-14T16:16:37.227549
mh0039,eq041,preventive,Emergency repair,7.2,892.76,382.26,1583.87,68.18,86.81,TECH004,2025-03-21T16:16:37.227549
mh0040,eq046,emergency,System reset and calibration,5.5,1243.5,372.65,2389.48,67.89,92.33,TECH009,2025-06-04T16:16:37.227549
mh0041,eq027,preventive,System reset and calibration,6.7,2062.73,1064.59,1117.04,46.14,63.36,TECH004,2025-03-13T16:16:37.227549
mh0042,eq030,preventive,System reset and calibration,6.4,1677.36,1810.78,1839.52,65.53,95.07,TECH011,2026-02-04T16:16:37.227549
mh0043,eq024,corrective,Component replacement,3.8,1158.24,1037.1,1672.84,55.5,72.92,TECH005,2025-01-17T16:16:37.227549
mh0044,eq042,preventive,Oil change and lubrication,5.5,2520.45,945.18,3952.76,42.47,67.51,TECH004,2024-12-28T16:16:37.227549
mh0045,eq033,corrective,Emergency repair,5.7,2840.9,1230.89,1713.26,42.44,60.18,TECH005,2025-01-08T16:16:37.227549
mh0046,eq002,emergency,Emergency repair,7.3,2501.13,1419.56,3367.17,55.79,82.87,TECH002,2026-05-09T16:16:37.227549
mh0047,eq013,preventive,Component replacement,0.8,695.92,1429.63,1568.25,46.92,76.6,TECH014,2025-04-25T16:16:37.227549
mh0048,eq020,emergency,Oil change and lubrication,1.2,1890.91,1193.7,4383.48,45.92,67.82,TECH009,2024-10-24T16:16:37.227549
mh0049,eq044,emergency,Emergency repair,4.4,1548.98,946.0,1337.26,76.69,86.93,TECH010,2025-04-15T16:16:37.227549
mh0050,eq006,emergency,Oil change and lubrication,6.4,2668.69,1784.24,4474.94,70.34,99.13,TECH005,2024-12-09T16:16:37.227549
mh0051,eq030,preventive,Component replacement,2.6,859.63,1295.58,3682.74,66.19,87.63,TECH001,2025-07-01T16:16:37.227549
mh0052,eq015,preventive,Full inspection,7.4,2742.58,236.42,4214.76,75.58,92.21,TECH005,2025-06-18T16:16:37.227549
mh0053,eq044,emergency,Oil change and lubrication,7.8,1069.89,740.86,3898.01,51.21,71.05,TECH013,2025-09-13T16:16:37.227549
mh0054,eq041,preventive,Component replacement,3.8,2783.58,932.91,2783.18,50.78,69.11,TECH009,2025-09-03T16:16:37.227549
mh0055,eq010,preventive,System reset and calibration,5.8,1508.46,1604.93,2954.43,72.84,93.15,TECH010,2025-07-11T16:16:37.227549
mh0056,eq012,preventive,Component replacement,0.7,626.4,848.68,1556.17,46.95,74.45,TECH006,2026-06-29T16:16:37.227549
mh0057,eq007,emergency,Oil change and lubrication,2.3,1721.97,1002.99,4830.24,60.21,82.91,TECH008,2025-04-09T16:16:37.227549
mh0058,eq016,emergency,Oil change and lubrication,2.6,1466.41,493.23,3160.71,62.05,78.94,TECH004,2024-12-05T16:16:37.227549
mh0059,eq017,emergency,Full inspection,4.3,2661.57,1940.85,3633.46,65.9,89.45,TECH008,2025-12-14T16:16:37.227549
mh0060,eq000,preventive,System reset and calibration,5.1,2857.51,1482.93,3750.28,65.89,87.92,TECH005,2026-03-15T16:16:37.227549
mh0061,eq029,corrective,Component replacement,4.0,2192.99,1683.76,2407.76,75.82,100,TECH002,2025-05-21T16:16:37.227549
mh0062,eq023,emergency,Emergency repair,5.1,1246.19,394.59,974.5,60.46,83.71,TECH005,2026-07-21T16:16:37.227549
mh0063,eq041,emergency,System reset and calibration,1.9,1793.23,632.54,944.13,53.01,68.54,TECH014,2024-10-11T16:16:37.227549
mh0064,eq008,emergency,Oil change and lubrication,5.4,2993.67,666.97,2499.83,56.16,72.56,TECH007,2024-11-21T16:16:37.227549
mh0065,eq012,corrective,Component replacement,5.6,2095.78,1056.32,4744.87,63.32,93.22,TECH006,2026-06-22T16:16:37.227549
mh0066,eq042,emergency,Component replacement,2.7,1676.95,1533.65,3818.3,52.01,65.41,TECH009,2025-02-24T16:16:37.227549
mh0067,eq041,preventive,Component replacement,3.2,2360.52,752.75,4088.79,77.88,100,TECH006,2026-01-22T16:16:37.227549
mh0068,eq007,corrective,Oil change and lubrication,7.0,1958.94,1899.74,1006.23,50.42,66.3,TECH015,2025-07-13T16:16:37.227549
mh0069,eq024,emergency,System reset and calibration,3.6,2677.12,471.4,4967.1,60.02,87.37,TECH006,2026-01-10T16:16:37.227549
mh0070,eq029,preventive,System reset and calibration,7.0,950.89,345.46,2130.31,79.49,100,TECH003,2025-06-04T16:16:37.227549
mh0071,eq017,preventive,Component replacement,4.8,896.09,1613.38,4052.94,65.38,75.47,TECH003,2025-09-11T16:16:37.227549
mh0072,eq027,corrective,Full inspection,0.5,1834.46,1515.19,4785.3,57.35,75.94,TECH015,2024-11-06T16:16:37.227549
mh0073,eq001,emergency,Oil change and lubrication,5.2,1122.06,1448.34,2180.7,70.27,90.89,TECH003,2025-09-02T16:16:37.227549
